name,calories,proteins,lipids,carbs,fibers,userId,
100% Casein Protein Gold Standard,344,75,2,9,3,admin,
100% ultra pure whey protein Muscle Line,389,80,5,7,1,admin,
100% Whey Gold Standard Optimum Nutrition,375,83,3,5,0,admin,
100% Whey Isolate Scitec Nutrition,396,83,4,8,0,admin,
100% whey Nutrend Deluxe,372,73,5,7,2,admin,
100% whey protein biscuit Nutrend,374,76,4,7,1,admin,
100% Whey Protein California Fitness,493,95,6,9,0,admin,
100% whey protein ciocolata si cirese Nutrend,370,74,5,6,3,admin,
24 Rebuild Strenght Herbalife,380,48,3,36,0,admin,
4 in 1 cafea mix energy boost Doncafe,463,4,15,78,0,admin,
Acadea pe bat,392,0,0,100,0,admin,
Adaos pentru mancaruri cu gust de gaina Vegeta Podravka,148,10,1,26,0,admin,
Afine,57,1,0,15,2,admin,
Afine bio congelate Ecofruct,66,1,1,14,3,admin,
Afine congelate Paulus,38,1,1,6,0,admin,
Afine Edeka,38,1,0,6,0,admin,
Afine rosii bio congelate Ecofruct,33,1,1,6,4,admin,
Agrise,44,1,1,10,4,admin,
Agrise deshidratate Jasmin,658,16,60,14,7,admin,
Albus de ou,52,11,0,1,0,admin,
Albus de ou fiert,52,11,0,1,0,admin,
Albus de ou uscat,320,73,0,4,0,admin,
Albus prajit,52,11,0,1,0,admin,
Alge de mare chinezesti preparate,45,3,1,9,1,admin,
Alge marine deshidratate,294,45,6,38,5,admin,
Alge verzi-albastre deshidratate,400,70,0,20,0,admin,
Aluat foietaj Bella,383,7,24,36,0,admin,
Aluat foietaj Linco,387,5,27,31,0,admin,
Aluat foietaj Winny,383,7,4,36,0,admin,
Aluat fraged simplu Linco Patisero,451,5,29,41,0,admin,
Aluat instant pentru paine taraneasca cu adaos de drojdie uscata Rivercote,228,8,1,47,5,admin,
Aluat integral pizza Bauck Hof,345,10,1,74,0,admin,
Aluat pentru foietaj Morarita,395,5,28,32,0,admin,
Aluat pizza Bella,269,9,4,47,2,admin,
Alune,567,26,49,16,9,admin,
Alune crude Horeca,704,15,61,18,10,admin,
Alune crude intregi Sano Vita,674,12,62,17,0,admin,
Alune cu paprika 365,539,13,35,42,4,admin,
Alune cu paprika Best,620,28,50,14,0,admin,
